"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1zp8",7,169,0,24,30,0,53,69,3,1,36,0,0,0,0,19,-0.62,16.46,-3.97,-55.13,0,26.56,-76.4,24.46,-12.11620276
"1zpa",5,163,0,19,33,0,40,76,1,3,32,0,0,0,0,4,-7.56,5.25,-3.31,-57.21,0,30.58,-83.64,13.29,-11.60502887
"220l",0,23,1,0,0,22,0,0,0,0,22,0,0,0,0,7,-2.15,0.01,0,-19.33,-0.19,3.6,-17.52,-0.01,-4.69727359
"2a31",7,98,0,14,42,0,6,43,4,1,5,0,0,0,1,5,-266.25,0.25,-6.06,-13.24,0,255.26,-21.03,0.98,-1.395366566
"2a5b",5,100,0,1,0,0,84,20,3,1,11,0,4,0,0,5,-19.64,4.41,-1.48,-16.8,-4.01,22.85,-37.48,8.68,-5.429495649
"2a5c",5,89,0,3,0,0,68,23,1,2,15,0,0,1,0,5,-38.42,1.75,-2.43,-19.26,-1.89,17.57,-34.85,1.65,-6.382765878
"2a8g",8,105,0,0,0,0,100,13,1,2,9,0,0,3,0,4,-16.03,2.5,-1.44,-15.98,-1.62,22.65,-34.48,3.21,-5.097923396
"2aac",6,97,0,0,11,0,88,4,2,3,17,0,0,0,0,5,-27.29,-1.34,-3.45,-23.4,0,23.01,-24.12,4.91,-3.067043344
"2ada",9,149,0,5,7,24,18,104,4,4,23,1,1,0,0,3,-24.02,-0.22,-4.06,-19.59,-5.55,33.37,-48.27,5.29,-17.96016373
"2afw",5,79,0,0,16,0,12,56,2,2,9,0,0,0,0,2,-22.1,3.73,-1.27,-11.15,-1.5,36.22,-23.6,3.96,-6.589998536
"2afx",1,50,0,0,3,0,5,43,0,1,15,0,0,1,0,3,-4.26,1.29,-0.23,-14.31,-0.58,42.64,-22.37,1.9,-7.114987937
"2aj8",2,109,5,1,0,38,0,67,1,1,36,0,2,1,2,14,-16.9,1.69,-1.41,-28.9,-5.16,36.97,-47.77,5.59,-8.565616546
"2am4",13,182,8,21,11,38,38,79,3,7,13,0,0,0,3,16,-18.43,7.93,-14.04,-27.87,0,62.92,-71.23,15.74,-5.139369928
"2amt",10,192,0,31,51,1,35,84,4,4,20,0,0,0,2,3,91.91,4.94,-8.74,-20.82,-0.42,-48.99,-61.48,19.22,-6.134086688
"2ans",1,53,0,0,0,8,36,10,0,0,15,2,0,1,1,30,-43.97,1.2,-2.16,-26.62,-1.97,55.17,-38.06,1.06,-8.17878225
"2aoc",14,242,0,45,49,0,64,98,8,4,35,0,0,0,2,30,-72.37,3.12,-12.2,-75.32,0,22.66,-113.11,20.37,-6.755784663
"2aod",14,234,0,46,44,0,69,89,7,4,31,0,0,0,2,30,-68.16,1.57,-11.73,-76.53,0,14.55,-107.82,19.44,-7.819578976
"2aoe",12,204,0,46,41,0,57,72,8,4,21,0,0,0,4,30,-55.84,10.67,-9.81,-63.89,0,33.43,-97.37,25.01,-10.52741905
"2aog",12,230,0,45,54,0,72,71,7,4,27,0,0,0,2,19,-99.05,4.81,-13.85,-74.98,0,34.51,-111.02,15.29,-8.67614063
"2aqu",7,164,0,32,46,0,33,60,5,2,45,0,0,0,2,6,-66.98,4.89,-3.5,-71.55,0,65.18,-93.73,11.26,-12.87605584
"2arm",2,71,1,0,27,24,0,21,1,0,21,0,0,0,0,30,-20.47,10.64,-0.92,-17.83,-0.22,45.1,-25,9.59,-11.23201008
"2avm",13,220,0,43,48,0,68,74,7,4,30,0,0,0,2,14,-69.86,-0.46,-11.99,-78.02,0,27.14,-112.33,16.6,-7.874841018
"2avo",5,152,0,25,33,0,39,60,3,1,38,0,0,0,2,30,-44.5,3.3,-3.41,-73.33,-0.61,56.88,-97.29,12.79,-12.22672684
"2avq",12,228,0,41,47,0,71,81,7,4,33,0,0,0,2,14,-65.45,2.52,-11.71,-76.53,0,11.61,-112.39,15.82,-6.065009135
"2avs",6,162,0,26,35,0,38,69,3,2,39,0,0,0,2,14,-47.99,3.7,-4.26,-74.23,-0.52,65.84,-99.07,13.69,-10.45834149
"2avv",4,154,0,21,38,0,43,56,3,1,44,0,0,0,2,9,-56.52,10.15,-3.36,-79.05,-0.4,55.5,-84.08,20.54,-12.79316278
"2b07",8,109,8,0,9,28,3,69,0,6,24,0,0,0,3,2,-73.9,-0.31,-10.45,-43.96,-0.91,74.4,-55.72,3.59,-8.883373289
"2b4l",3,69,9,0,2,18,18,25,0,3,31,6,0,0,2,15,4.6,1.43,-0.8,-23.73,0,-3.67,-23.57,3.15,-6.589998536
"2bfq",9,203,7,6,49,26,26,98,1,7,33,0,2,0,0,9,-23.75,2.85,-12.54,-26.53,-2.11,21.56,-79.95,28.67,-9.518886774
"2bfr",7,147,7,2,42,23,1,79,1,4,18,0,2,0,0,1,12.51,6.25,-8.9,-14.8,-2.66,17.36,-54.74,9.26,-7.253143043
"2bjm",2,89,0,0,0,0,31,60,0,0,55,0,7,4,0,10,-6.99,-0.05,0,-27.01,-21.29,22.86,-25.02,0.73,-5.111738906
"2bmz",6,97,0,25,12,0,48,18,2,3,6,0,0,0,0,6,-59.35,2.43,-4.25,-13.06,0,30.49,-23.44,3.79,-5.111738906
"2bo4",7,74,15,0,0,27,0,39,0,6,3,0,0,0,2,6,-96.06,1.7,-12.27,-8.96,0,112.9,-21.3,2.27,-6.368950367
"2boh",0,137,0,33,38,0,25,41,0,1,45,3,0,0,0,14,-6.59,3.67,-0.46,-65.31,-0.03,100.14,-76.44,5.24,-11.770815
"2bpv",6,127,0,13,36,0,32,52,4,1,20,0,0,0,2,14,-53.95,4.25,-2.93,-73.97,-0.34,64.52,-91.33,10.68,-10.5964966
"2bpy",7,155,0,17,39,0,31,75,4,1,28,0,0,0,2,6,-45.97,0.96,-2.92,-74.55,-1.2,66.25,-97.89,9.33,-10.22347781
"2bq7",1,135,0,20,29,0,15,72,0,2,49,2,0,0,0,15,-25.43,-0.37,-1.17,-48.03,-0.62,87.65,-58.1,14.02,-9.739934943
"2bqv",2,148,0,14,46,0,37,53,2,2,30,0,0,0,0,4,-32.23,2.56,-2.25,-63.99,0,52.98,-85.41,9.16,-11.121486
"2bt9",8,98,0,6,5,0,86,9,4,4,12,0,0,0,0,10,-20.21,-1.77,-3.39,-21.23,0,12.99,-22.77,5.33,-8.551801035
"2bvd",13,162,0,0,0,0,63,112,8,3,15,0,0,0,2,12,-50.4,2.7,-8.98,-24.31,0,61.95,-35.44,13.02,-8.289306335
"2byr",1,122,0,3,21,0,33,66,0,1,48,2,1,0,0,2,-27.34,1.75,-1.41,-73.18,-1.58,89.4,-81,5.32,-11.81226153
"2bza",3,73,0,2,39,0,2,33,3,0,9,0,0,0,1,6,-70.96,1.88,-1.45,-15.07,0,97.83,-21.14,3.22,-3.868342956
"2c1p",2,86,0,9,8,0,68,3,1,1,22,0,0,0,0,6,-17.99,1.04,-0.65,-30.02,-1.9,25.66,-48.8,2.03,-7.460375701
"2c4v",18,136,0,4,21,0,41,88,2,9,8,0,0,0,6,16,-187.09,0.06,-18.3,-10.22,0,178.36,-21.97,3.21,-3.592032745
"2c80",13,172,4,15,6,62,17,81,3,8,19,0,0,0,4,16,-63.27,1.36,-9.27,-34.53,0,40.7,-45.92,6.7,-7.363667127
"2c92",11,239,2,33,33,45,23,114,3,7,27,0,4,0,1,15,-24,6.77,-14.45,-35.09,-10.98,21.26,-61.07,14.91,-7.847209997
"2c94",13,215,2,31,31,37,21,106,4,9,25,0,4,0,1,6,-52.19,2.3,-12.1,-33.68,-10.55,49.17,-65.93,13.03,-9.422178201
"2c97",9,113,0,12,23,32,6,49,1,6,11,0,2,0,1,11,-24.06,5.34,-10.43,-21.95,-4.02,17.29,-41.59,4.2,-8.482723483
"2ca8",13,129,4,15,4,52,12,55,3,6,5,0,0,0,4,11,-59.75,5.14,-7.91,-14.13,0,41.15,-31.61,8.54,-6.43802792
"2cbz",11,166,20,0,22,62,44,29,0,8,17,0,4,0,5,9,-49.68,4.36,-16.97,-6.06,-10.01,64.72,-40.42,6.25,-5.429495649
"2ccb",4,101,0,9,0,0,92,4,4,1,29,0,10,0,0,0,-352.15,-2.11,-3.51,-24,-14.07,343.04,-47.22,7.02,-10.29255537
"2ccc",2,82,0,5,0,0,79,0,1,1,34,0,9,0,0,9,-349.63,0.39,-1.42,-17.09,-16.04,327.34,-35.77,0.65,-10.72083619
"2cex",10,104,0,4,2,4,84,20,3,3,8,0,0,0,2,7,-57.39,0.47,-11.07,-18.4,0,73.45,-36.31,7.32,-6.493289962
"2cf8",4,129,0,31,27,0,17,58,3,1,36,0,0,0,0,8,-132.63,2.81,-7.8,-54.87,-0.13,146.97,-66.51,6.43,-11.19056355
"2cf9",4,129,0,28,29,0,19,57,3,1,37,0,0,0,0,3,-141.87,3.03,-8,-50.73,-0.08,155.35,-69.44,6.49,-10.80372926
"2cht",7,113,9,7,0,5,84,15,1,5,13,0,0,0,2,5,-24.86,0.63,-10.02,-26.26,0,25.53,-29.79,0.9,-7.626161828
"2cji",0,105,0,32,26,0,22,25,0,1,31,0,0,0,0,5,-47.45,3.67,-0.4,-51.17,0,99.24,-65.96,3.91,-11.35634968
"2csn",1,59,0,15,0,7,30,8,0,1,18,0,0,0,1,20,35.58,3.46,-1.12,-32.22,0,-46.77,-38.37,3.3,-6.092640156
"2d1n",8,182,1,14,62,27,12,74,2,2,25,1,0,0,1,4,-188.36,6.84,-3.56,-56.39,0,193.07,-63.47,9.48,-11.2596411
"2dri",17,153,0,1,0,55,33,81,4,6,20,0,0,0,0,5,-44.15,0.42,-7.39,-16.3,0,19.59,-20.51,6.08,-9.518886774
"2dw7",13,145,0,0,0,0,104,54,2,6,3,0,0,0,7,30,84.02,5.42,-9.43,-2.86,0,13.26,-16.05,8.57,-6.493289962
"2er6",14,211,0,16,53,0,38,118,9,2,32,0,0,1,3,6,-120.49,9.53,-11.62,-61.88,-0.15,139.53,-103.2,30.69,-9.974798623
"2ewb",6,86,1,0,18,14,16,43,0,0,14,0,0,0,0,10,40.84,2.8,-2.68,-20.51,-0.2,7.66,-40.43,3.98,-8.42746144
"2f1g",3,118,0,5,43,9,8,56,1,1,25,0,0,0,0,12,-19.24,4.87,-1.57,-31.28,-4.56,37.14,-48.72,19.93,-10.41689496
"2f2h",12,184,0,1,1,0,67,127,5,3,18,0,0,1,0,7,-18.97,5.22,-7.73,-36.79,-0.03,47.93,-54.4,25.86,-7.874841018
"2f34",8,120,6,19,3,50,35,15,2,5,14,1,0,0,1,7,-73.67,0.66,-8.78,-20.1,-0.1,62.14,-45.13,3.16,-9.518886774
"2f35",8,127,8,17,2,47,44,17,2,6,12,1,0,0,1,12,-76.58,1.27,-8.85,-13.67,-0.1,55.99,-43.65,2.44,-7.460375701
"2f5t",17,196,11,30,26,28,49,69,6,6,7,0,0,0,0,5,-79.99,0.32,-5.26,-30.65,0,32.79,-48.85,5.4,-7.142618958
"2f6t",9,119,10,1,8,35,9,65,1,7,27,0,0,0,1,5,-42.33,5.86,-10.69,-30.41,-0.37,48.71,-49.6,6.51,-6.382765878
"2f7o",9,131,0,0,2,7,0,131,7,0,11,0,0,0,2,7,-121.71,0.73,-4.77,-22.28,0,191.2,-30.4,10.97,-10.27873986
"2f7p",13,146,0,0,2,7,26,124,7,1,13,0,0,0,2,14,-99.34,-0.41,-4.67,-25.57,-0.24,164.36,-43.21,10.81,-9.118236968
"2f81",4,156,0,24,38,0,53,45,3,3,20,0,0,0,0,14,-11.66,4.33,-3.67,-56.33,0,23.39,-80.79,4.4,-14.53391711
"2f8g",7,154,0,20,37,0,49,55,3,3,26,0,0,0,0,14,-10.56,3.22,-3.23,-55.93,0,18.69,-80.38,4.2,-12.01949419
"2fgu",7,160,0,21,39,0,55,52,3,2,33,0,0,0,2,14,-42.15,3.42,-5.68,-73.24,-0.3,63.89,-99.96,13.48,-12.68263869
"2fgv",7,155,0,22,41,0,53,46,3,2,29,0,0,0,2,1,-42.92,5.84,-5.95,-70.97,-0.66,62.31,-103.31,15.8,-8.455092461
"2fpz",3,84,0,6,47,0,2,32,2,0,9,0,0,0,0,12,-7.9,1.51,-4.53,-11.39,-0.28,70.36,-28.6,1.03,-5.470942181
"2fqo",13,172,2,24,8,47,69,35,3,3,12,0,0,0,2,12,-26.05,2.61,-5.27,-24,0,14.16,-35.35,8.9,-8.883373289
"2fqt",12,178,2,24,6,39,87,32,4,3,12,0,0,0,2,5,2.68,-0.71,-4.56,-24.93,0,13.61,-42.81,10.19,-8.482723483
"2fqw",7,136,0,3,4,28,5,103,4,2,33,0,2,0,0,6,-44.94,1.16,-5.96,-21.04,-5.9,39.5,-44.2,2.24,-9.228761053
"2fqx",9,155,0,3,10,35,6,110,2,2,38,0,2,0,0,6,-33.1,-0.32,-8.03,-21.08,-5.3,36.36,-44.65,8.58,-9.878090049
"2fqy",9,160,0,1,16,34,19,99,0,2,41,0,2,0,0,6,-36.85,1.86,-4.92,-21.42,-6.47,30.78,-44.29,3.41,-9.076790437
"2fw6",14,140,5,23,9,22,29,66,0,11,6,0,0,0,2,6,-266.15,-0.18,-12.36,-9.41,0,261.26,-28.29,1.61,-4.034129083
"2fwp",13,139,7,22,7,22,29,65,0,11,6,0,0,0,2,1,-265.16,-0.31,-12.44,-9.39,0,257.52,-27.9,1.58,-4.034129083
"2fx6",4,85,0,7,45,0,3,34,1,1,7,0,0,0,0,7,-29.6,2.46,-3.69,-10.39,0,68.79,-26.84,2.08,-5.111738906
"2fxv",8,156,13,23,6,16,64,42,3,7,19,0,2,0,0,6,-77.3,4.42,-9.6,-12.81,-4.19,73.7,-46.39,5.48,-7.391298149
"2fzg",11,154,5,2,28,72,25,33,0,4,6,0,0,0,3,7,-356.89,7.83,-9.69,-12.71,-0.14,396.93,-32.99,10.03,-4.669642569
"2fzk",12,189,3,2,12,86,28,70,1,8,3,1,0,0,5,8,-440.54,5.93,-16.25,-11.03,-0.87,484.4,-41.23,10.47,-4.973583801
"2fzz",5,185,0,44,43,0,27,76,2,1,52,0,3,3,0,7,-10.88,7.21,-4.11,-48.85,-5.28,84.4,-70.2,5.55,-14.53391711
"2g00",4,167,0,32,50,0,24,65,4,1,48,0,3,3,0,5,-61.64,8.52,-3.48,-44.71,-4.1,147.47,-66.96,10.96,-13.45630728
"2gh7",8,111,0,0,8,0,79,32,2,5,25,0,0,0,0,6,-69.76,0.82,-5.26,-47.22,0,50.65,-44.97,0.81,-17.96016373
"2gl0",6,160,0,5,17,0,14,130,0,2,34,0,5,0,0,13,-13.26,-1.1,-1.64,-14.33,-14.58,21.41,-41.77,12,-6.659076089
"2gst",12,184,4,14,9,76,61,32,3,7,28,0,1,1,3,7,-101.73,6.7,-11.17,-43.01,-1.74,73.38,-62.2,12.17,-8.386014909
"2gsu",7,108,1,0,8,38,15,53,1,2,17,0,0,1,4,11,31.88,0.8,-5.44,-12.13,-2.92,5.26,-37.99,-0.86,-4.95976829
"2gv6",8,134,0,34,45,0,10,53,4,2,18,0,0,0,0,12,-425.28,4.36,-10.76,-30.49,-0.09,431.09,-53.14,12.03,-10.14058475
"2gv7",10,189,0,7,94,0,3,95,6,2,21,0,0,0,1,5,-431.56,8.15,-10.9,-36.48,0,430.34,-67.76,13.78,-10.84517579
"2gvv",6,77,0,0,5,0,32,46,1,2,6,0,0,0,0,7,-23.72,2.93,-6.08,-27.68,0,34.51,-27.65,8.35,-5.388049118
"2gyi",7,115,0,3,0,5,75,39,0,1,3,1,0,0,3,16,-14.74,4.71,-2.28,-11.18,0,65.31,-26.48,2.26,-9.670857391
"2gzl",10,199,3,30,33,14,47,82,5,6,40,0,0,0,2,6,102.89,3.21,-7.89,-43.52,-0.38,-62.32,-78.04,13.03,-6.659076089
"2h4g",9,95,8,0,4,29,3,60,1,6,17,0,0,0,2,5,-101.97,1.68,-10.62,-28.6,-1.28,105.5,-37.6,1.45,-9.007712884
"2h4k",7,99,6,0,4,34,1,61,0,5,19,0,0,0,3,3,-83.79,0.51,-9.22,-30.04,-1.79,87.88,-39.48,0.96,-7.584715296
"2h4n",8,78,0,0,2,5,45,34,0,3,5,0,0,0,1,4,-2.69,2.03,-2.61,-10.15,-0.81,-5.98,-26.31,2.33,-12.01949419
"2hb1",6,85,8,0,4,27,2,50,0,6,18,0,0,0,3,15,-100.26,0.64,-10,-22.67,-0.48,100.34,-29.93,0.96,-5.249894012
"2hb3",6,136,0,20,38,0,35,49,3,3,21,0,0,0,0,12,-21.18,3.74,-3.14,-69.16,-0.65,23.71,-87.03,4.08,-15.68060448
"2hh5",7,153,0,33,47,11,19,50,2,1,35,0,0,0,0,14,-45.1,4.08,-2.2,-35.89,-0.52,77.34,-64.35,17.73,-10.34781741
"2hs1",10,147,0,23,38,0,47,49,2,3,23,0,0,0,0,14,-14.15,3.99,-4.2,-56.64,-0.54,20.47,-77.58,4.97,-11.71555295
"2hs2",9,156,0,22,39,0,50,54,2,2,25,0,0,0,0,5,-14.96,3.28,-5,-55.31,-0.69,25.43,-76.54,3.71,-11.48068927
"2hu6",3,94,4,5,46,20,9,13,2,2,27,0,1,0,0,8,-27.28,4.6,-1.76,-32.9,-1.72,42.97,-54.45,5.79,-5.263709523
"2hxm",9,129,7,2,25,24,15,65,1,8,26,1,2,1,0,15,-122.36,4.23,-6.96,-13.42,-3.66,91.32,-51.73,4.31,-7.211696511
"2i0a",6,130,0,18,30,0,38,50,2,3,27,1,0,0,0,6,-14.44,5.01,-3.01,-52.13,-0.61,22.46,-86.35,5.12,-15.74968204
"2i3i",6,128,0,40,5,29,44,16,4,2,29,0,0,0,2,2,-65.34,4.22,-2.72,-38.05,-0.93,43.57,-49.79,6.06,-10.08532271
"2ihq",1,103,22,0,2,73,0,7,1,0,35,0,0,1,0,7,-22.39,0.75,-0.59,-51.59,-0.64,20.09,-51.22,3.2,-11.72936846
"2iko",5,133,0,0,30,0,40,68,4,0,22,0,0,0,0,13,-33.1,3.17,-8.77,-33.14,-0.87,52.55,-50.64,3.69,-7.529453254
"2il2",3,174,0,9,44,0,71,53,3,3,38,1,0,0,0,3,-40.54,3.14,-7.48,-52.58,-1.57,47.5,-84.07,21.03,-9.809012496
"2iuz",1,146,0,0,4,0,46,97,0,2,57,0,8,0,0,6,-30.19,4.91,-1.16,-25.5,-27.45,26.71,-63.19,5.03,-7.66760836
"2izl",7,112,0,0,9,0,89,21,5,2,19,0,0,0,0,5,-40.87,1.62,-6.65,-46.85,0,27.05,-42.8,1.22,-8.289306335
"2j2u",2,113,0,36,31,0,21,27,0,1,34,0,0,0,0,5,-50.39,6.13,-0.73,-48.23,0,99.17,-64.7,5.27,-10.12676924
"2j34",1,104,0,32,21,0,23,29,0,1,33,0,0,0,0,10,-41.77,3.31,-0.55,-51.77,0,87.03,-65.94,3.92,-10.80372926
"2j4i",1,134,0,36,32,0,28,39,1,1,46,0,0,0,0,17,-70.16,5.57,-0.73,-53.22,0,110.84,-70.93,6.49,-12.4339595
"2jxr",10,167,0,2,43,0,53,79,5,3,22,0,0,0,0,6,-58.36,4.73,-4.24,-62.9,-0.86,59.82,-76.86,10.66,-9.739934943
"2mas",10,158,0,0,10,38,7,113,3,4,16,1,0,1,1,2,-123.16,4.57,-3.19,-24.3,-0.98,112.9,-35.38,8.29,-10.38926394
"2pcp",0,73,0,0,20,0,49,4,0,0,40,3,0,3,0,9,0.62,2.13,0,-41.76,-1.43,41.97,-43.35,2.67,-12.01949419
"2sim",11,142,0,0,0,0,74,79,2,8,12,0,0,0,3,5,-121.95,-1.94,-17.66,-15.69,0,99.27,-34.95,5.05,-4.724904611
"2tmn",6,94,0,9,0,49,22,20,1,2,8,0,0,0,3,3,101.68,11.34,-8.08,-16.64,0,-30.15,-28.57,9.53,-8.137335719
"2ypi",10,87,0,10,20,0,25,42,0,9,3,0,0,0,2,12,-56.88,0.84,-10.21,-4,0,70.48,-22.28,0.5,-6.659076089
"3aid",1,25,0,5,5,0,1,15,0,1,12,0,0,0,0,13,5.39,2.99,-2.06,-50.57,-0.31,-10.13,-67.26,7.46,-9.477440243
"3gst",13,174,4,15,7,77,56,28,3,7,31,0,0,0,3,6,-96.21,0.83,-11.62,-44.12,0,68.96,-62.52,9.79,-9.284023095
"3jdw",7,71,0,0,23,0,0,55,3,5,2,0,0,0,3,6,-47.4,2.52,-2.97,-11.38,0,47.08,-21.36,2.68,-4.973583801
"3kiv",5,102,0,0,0,0,60,47,3,1,18,3,0,0,4,22,-82.05,2,-6.4,-17,0,71.11,-9.36,2.15,-6.493289962
"456c",5,124,4,22,24,41,16,22,0,2,21,1,0,0,1,7,-39.05,3.64,-0.81,-37.95,-0.53,41.95,-50.22,8.68,-13.49775382
"4er1",5,164,0,2,42,0,44,81,5,1,43,0,1,0,0,21,-39.48,6.3,-2.77,-80.04,-0.67,129.4,-96.15,24.77,-9.145867989
"4fiv",11,224,0,28,44,0,44,119,6,4,35,2,0,0,0,6,-88.32,6.43,-6.59,-84.54,-5.92,71.67,-98.88,17.7,-9.007712884
"4rsk",8,90,0,17,0,28,40,13,1,4,3,0,0,0,2,4,-53.3,1.55,-12.21,-5.82,-0.06,45.64,-31.28,1.99,-5.968300561
"4std",1,70,3,0,0,7,42,19,0,1,27,0,0,3,0,20,-20.24,1.18,-0.75,-44.27,-1.28,8.05,-46.44,1.3,-14.27142241
"4tmk",16,355,30,3,14,235,51,38,2,12,40,0,1,0,8,6,-99.45,9.08,-32.1,-37.93,-8.15,109.67,-85.98,14.43,-10.63794313
"5abp",12,154,0,0,3,58,6,99,4,5,7,0,0,0,0,30,-63.35,2.47,-5.92,-17.99,0,24.08,-22.33,3.68,-9.17349901
"5er2",9,195,0,14,57,0,37,96,7,2,29,0,0,0,0,5,-55.48,4.83,-5.57,-73.78,-0.04,128.92,-97.84,32.6,-9.076790437
"5std",2,69,1,0,0,24,38,8,0,1,40,1,1,4,0,10,-13.2,6.7,-1.59,-46.61,-2.65,8.58,-54.75,8.56,-14.49247058
"5tln",7,116,0,9,1,53,32,28,2,3,16,0,0,1,2,14,-16.91,1.45,-2.6,-22.88,-0.21,35.51,-39.8,7.75,-8.800480225
"5tmn",8,143,0,15,0,26,40,70,2,3,23,0,0,0,4,20,184.16,3.38,-8.36,-35.47,-0.66,-104.16,-59.97,9.03,-11.10767049
"5tmp",12,348,34,3,14,249,22,38,1,10,41,0,1,0,11,4,11,8.06,-24.1,-38.15,-7.93,10.48,-84.21,28.43,-10.32018639
"5yas",2,78,0,6,0,0,33,41,1,1,1,0,0,0,0,4,-17.85,1.22,-0.94,-8.87,0,1.65,-12.64,0.39,-4.503856442
"6abp",12,119,0,0,0,43,0,88,3,5,6,0,0,0,0,12,-49.98,1.39,-6.14,-13.7,0,25.56,-19.6,8.03,-8.786664715
"6cpa",13,183,0,7,0,7,25,157,2,6,13,0,1,0,7,6,-29.46,3.06,-14.49,-27.81,-0.82,101.37,-47.02,13.26,-15.91546816
"6fiv",13,180,0,19,31,0,80,63,4,2,8,0,0,0,2,19,-13.722,3.848,-3.4,-32.5719,0,23.3143,-34.276,25.4783,-11.16293253
"6tim",10,121,0,18,18,0,35,60,2,5,6,0,0,0,1,4,-102.81,4.6,-9.77,-11.04,0,107.19,-19.6,4.21,-4.434778889
"7abp",12,131,0,0,1,48,3,91,3,5,6,0,0,0,0,4,-38.67,0.85,-5.1,-17.22,0,16.79,-24.24,9.39,-8.92481982
"7std",0,67,3,0,0,7,26,31,0,0,39,0,0,1,0,7,-9.63,0.5,-0.46,-64.13,-1.39,6.67,-50.18,0.9,-14.81022732
"7upj",3,100,0,13,16,0,23,51,1,3,15,1,0,0,0,6,-6.72,3.97,-2.35,-50.4,-2.59,14.95,-63.36,5.83,-11.72936846
"8abp",13,153,0,0,4,55,7,100,4,5,8,0,0,0,0,6,-59.59,2.14,-6.53,-17.52,0,26.25,-21.27,7.7,-11.05240845
"966c",4,115,7,17,21,38,10,26,1,2,15,1,0,0,1,7,-16.95380312,2.258005286,-2.160140898,-28.92363399,-0.285137959,41.73555698,-53.40266024,3.670975079,-10.55505007
"9abp",13,154,0,0,2,66,3,96,4,5,8,0,0,0,0,19,-70.2,3.51,-6.95,-18.43,0,32.45,-19.17,4.64,-11.05240845
